<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.07	1.26690	1.28129	1.24735	1.24886	427908	0	1
2020.06.14	1.25094	1.26872	1.23437	1.23562	415631	0	1
2020.06.21	1.23410	1.25425	1.23140	1.23423	296218	0	1
2020.06.28	1.23231	1.25296	1.22509	1.24740	211517	0	1
2020.07.05	1.24604	1.26693	1.24600	1.26307	226856	0	1
2020.07.12	1.26159	1.26658	1.24797	1.25690	220756	0	1
2020.07.19	1.25444	1.28029	1.25178	1.27895	237289	0	1
2020.07.26	1.27903	1.31699	1.27773	1.30922	262931	0	1
2020.08.02	1.30751	1.31853	1.29808	1.30527	249290	0	1
2020.08.09	1.30590	1.31423	1.30047	1.30891	218033	0	1
2020.08.16	1.30831	1.32667	1.30588	1.30923	247430	0	1
2020.08.23	1.30820	1.33563	1.30535	1.33323	250801	0	1
2020.08.30	1.33448	1.34820	1.31755	1.32817	270016	0	1
2020.09.06	1.32570	1.32674	1.27620	1.27919	253767	0	1
2020.09.13	1.27805	1.30074	1.27744	1.29320	251607	0	1
2020.09.20	1.29275	1.29660	1.26748	1.27273	279358	0	1
2020.09.27	1.27622	1.29784	1.27508	1.29318	294207	0	1
2020.10.04	1.29255	1.30400	1.28442	1.30371	230206	0	1
2020.10.11	1.30245	1.30823	1.28562	1.29276	228609	0	1
2020.10.18	1.28950	1.31764	1.28929	1.30346	225054	0	1
2020.10.25	1.30528	1.30794	1.28804	1.29530	261293	0	1
2020.11.01	1.29216	1.31771	1.28535	1.31576	460014	0	1
2020.11.08	1.31547	1.33138	1.31060	1.31795	640792	0	1
2020.11.15	1.31602	1.33121	1.31594	1.32800	463162	0	1
2020.11.22	1.32873	1.33978	1.32636	1.33034	424301	0	1
2020.11.29	1.33266	1.35397	1.32873	1.34340	448663	0	1
2020.12.06	1.34093	1.34777	1.31338	1.32241	465514	0	1
2020.12.13	1.33427	1.36245	1.32801	1.35045	448471	0	1
2020.12.20	1.33952	1.36193	1.31877	1.35336	394499	0	1
2020.12.27	1.35441	1.36863	1.34293	1.36745	331301	0	1
2021.01.03	1.36452	1.37037	1.35326	1.35653	535509	0	1
2021.01.10	1.35402	1.37110	1.34508	1.35877	454142	0	1
2021.01.17	1.35870	1.37462	1.35196	1.36842	383288	0	1
2021.01.24	1.36793	1.37586	1.36099	1.37091	436635	0	1
2021.01.31	1.37029	1.37579	1.35647	1.37282	406293	0	1
2021.02.07	1.37169	1.38659	1.36802	1.38504	370162	0	1
2021.02.14	1.38462	1.40362	1.38296	1.40136	443254	0	1
2021.02.21	1.40092	1.42409	1.38877	1.39455	609447	0	1
2021.02.28	1.39284	1.40165	1.37778	1.38433	539007	0	2
2021.03.07	1.37976	1.40046	1.37976	1.39245	589917	0	2
2021.03.14	1.39165	1.40009	1.38088	1.38669	493248	0	4
2021.03.21	1.38366	1.38763	1.36698	1.37868	394115	0	2
2021.03.28	1.37762	1.38514	1.37057	1.38226	315463	0	2
2021.04.04	1.38104	1.39182	1.36696	1.37186	274817	0	2
2021.04.11	1.37012	1.38357	1.36684	1.38332	251890	0	2
2021.04.18	1.38244	1.40087	1.38092	1.38756	266243	0	1
2021.04.25	1.38690	1.39767	1.38028	1.38156	231376	0	1
2021.05.02	1.38146	1.40004	1.38012	1.39931	159987	0	1
2021.05.09	1.40021	1.41665	1.39931	1.41015	192048	0	1
2021.05.16	1.40987	1.42338	1.40772	1.41542	172168	0	1
2021.05.23	1.41565	1.42190	1.40915	1.41934	167631	0	1
2021.05.30	1.41836	1.42488	1.40832	1.41602	176914	0	1
2021.06.06	1.41540	1.41903	1.40732	1.41052	152567	0	1
2021.06.13	1.41049	1.41324	1.37951	1.38248	176847	0	1
2021.06.20	1.38098	1.40011	1.37861	1.38784	170361	0	1
2021.06.27	1.38842	1.39394	1.37312	1.38379	171555	0	1
2021.07.04	1.38276	1.38980	1.37416	1.38864	230569	0	1
